id,name,unit,source_id,source,source_note,source_organization,topics,topic_ids
1.1.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Rural,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PGap.1.90usd,Poverty Gap ($1.90 a day)-Rural,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PGap.2.5usd,Poverty Gap ($2.50 a day)-Rural,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PGap.Poor4uds,Poverty Gap ($4 a day)-Rural,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PSev.1.90usd,Poverty Severity ($1.90 a day)-Rural,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PSev.2.5usd,Poverty Severity ($2.50 a day)-Rural,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1.PSev.Poor4uds,Poverty Severity ($4 a day)-Rural,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.1_ACCESS.ELECTRICITY.TOT,Access to electricity (% of total population),,35,Sustainable Energy for All,Access to electricity is the percentage of population with access to electricity.,World Bank Global Electrification Database 2012,,
1.1_TOTAL.FINAL.ENERGY.CONSUM,Total final energy consumption (TFEC),,35,Sustainable Energy for All,Total final energy consumption (TFEC): This indicator is derived form energy balances statistics and is equivalent to total final consumption excluding non-energy use.,"World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).  ",,
1.1_YOUTH.LITERACY.RATE,"Literacy rate, youth total (% of people ages 15-24) ",,34,Global Partnership for Education,"The number of persons aged 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the population in that age group. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. For further country-specific definition details please refer to the source of information, the UNESCO Institute for Statistics (UIS): www.uis.unesco.org",Source of information: UNESCO Institute for Statistics (www.uis.unesco.org). Please refer to its website for country-specific details on the specific national data sources and method used. ,,
1.2.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.HCount.Ofcl,Official Moderate Poverty Rate-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.,LAC Equity Lab tabulations of data from National Statistical Offices.,Poverty ,11
1.2.HCount.Poor4uds,Poverty Headcount ($4 a day)-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Urban,,37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PGap.1.90usd,Poverty Gap ($1.90 a day)-Urban,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PGap.2.5usd,Poverty Gap ($2.50 a day)-Urban,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PGap.Poor4uds,Poverty Gap ($4 a day)-Urban,,37,LAC Equity Lab,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PSev.1.90usd,Poverty Severity ($1.90 a day)-Urban,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PSev.2.5usd,Poverty Severity ($2.50 a day)-Urban,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2.PSev.Poor4uds,Poverty Severity ($4 a day)-Urban,,37,LAC Equity Lab,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
1.2_ACCESS.ELECTRICITY.RURAL,Access to electricity (% of rural population),,35,Sustainable Energy for All,Access to electricity is the percentage of rural population with access to electricity. ,World Bank Global Electrification Database 2013,,
1.3_ACCESS.ELECTRICITY.URBAN,Access to electricity (% of urban population),,35,Sustainable Energy for All,Access to electricity is the percentage of total population with access to electricity. ,World Bank Global Electrification Database 2014,,
100000,100000:GROSS DOMESTIC PRODUCT,,71,International Comparison Program (ICP) 2005,,,,
1000000,1000000:GROSS DOMESTIC PRODUCT,,78,ICP 2017,,,,
110000,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,,71,International Comparison Program (ICP) 2005,,,,
110100,110100:FOOD AND NON-ALCOHOLIC BEVERAGES,,71,International Comparison Program (ICP) 2005,,,,
1101000,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,,78,ICP 2017,,,,
110110,110110:FOOD,,71,International Comparison Program (ICP) 2005,,,,
1101100,1101100:FOOD,,78,ICP 2017,,,,
110111,110111:Bread and cereals (Class),,71,International Comparison Program (ICP) 2005,,,,
1101110,1101110:Bread and cereals,,78,ICP 2017,,,,
110112,110112:Meat (Class),,71,International Comparison Program (ICP) 2005,,,,
1101120,1101120:Meat,,78,ICP 2017,,,,
110113,110113:Fish and seafood (Class),,71,International Comparison Program (ICP) 2005,,,,
1101130,1101130:Fish and seafood,,78,ICP 2017,,,,
110114,"110114:Milk, cheese and eggs (Class)",,71,International Comparison Program (ICP) 2005,,,,
1101140,"1101140:Milk, cheese and eggs",,78,ICP 2017,,,,
110115,110115:Oils and fats (Class),,71,International Comparison Program (ICP) 2005,,,,
1101150,1101150:Oils and fats,,78,ICP 2017,,,,
110116,110116:Fruit (Class),,71,International Comparison Program (ICP) 2005,,,,
1101160,1101160:Fruit,,78,ICP 2017,,,,
110117,110117:Vegetables (Class),,71,International Comparison Program (ICP) 2005,,,,
1101170,1101170:Vegetables,,78,ICP 2017,,,,
110118,"110118:Sugar, jam, honey, chocolate and confectionery (Class)",,71,International Comparison Program (ICP) 2005,,,,
1101180,"1101180:Sugar, jam, honey, chocolate and confectionery",,78,ICP 2017,,,,
110119,110119:Food products nec (Class),,71,International Comparison Program (ICP) 2005,,,,
1101190,1101190:Food products n.e.c. (Class),,78,ICP 2017,,,,
110120,110120:NON-ALCOHOLIC BEVERAGES,,71,International Comparison Program (ICP) 2005,,,,
1101200,1101200:NON-ALCOHOLIC BEVERAGES,,78,ICP 2017,,,,
110200,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",,71,International Comparison Program (ICP) 2005,,,,
1102000,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",,78,ICP 2017,,,,
110210,110210:ALCOHOL BEVERAGES,,71,International Comparison Program (ICP) 2005,,,,
1102100,1102100:ALCOHOLIC BEVERAGES,,78,ICP 2017,,,,
110220,110220:TOBACCO,,71,International Comparison Program (ICP) 2005,,,,
1102200,1102200:TOBACCO,,78,ICP 2017,,,,
110300,110300:CLOTHING AND FOOTWEAR,,71,International Comparison Program (ICP) 2005,,,,
1103000,1103000:CLOTHING AND FOOTWEAR,,78,ICP 2017,,,,
110400,"110400:HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",,71,International Comparison Program (ICP) 2005,,,,
110500,"110500:FURNISHING, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE",,71,International Comparison Program (ICP) 2005,,,,
1105000,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",,78,ICP 2017,,,,
110600,110600:HEALTH - HHC (Category),,71,International Comparison Program (ICP) 2005,,,,
110700,110700:TRANSPORT,,71,International Comparison Program (ICP) 2005,,,,
1107000,1107000:TRANSPORT,,78,ICP 2017,,,,
110710,110710:PURCHASE OF VEHICLES,,71,International Comparison Program (ICP) 2005,,,,
1107100,1107100:PURCHASE OF VEHICLES,,78,ICP 2017,,,,
110730,110730:TRANSPORT SERVICES,,71,International Comparison Program (ICP) 2005,,,,
1107300,1107300:TRANSPORT SERVICES,,78,ICP 2017,,,,
110800,110800:COMMUNICATION,,71,International Comparison Program (ICP) 2005,,,,
1108000,1108000:COMMUNICATION,,78,ICP 2017,,,,
111100,111100:RESTAURANTS AND HOTELS,,71,International Comparison Program (ICP) 2005,,,,
1111000,1111000:RESTAURANTS AND HOTELS,,78,ICP 2017,,,,
111300,111300:BALANCE OF EXPENDITURES OF RESIDENTS ABROAD AND EXPENDITURES OF NON-RESIDENTS IN THE ECONOMIC TERRITORY,,71,International Comparison Program (ICP) 2005,,,,
1113000,1113000:NET PURCHASES ABROAD,,78,ICP 2017,,,,
130000,130000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,,71,International Comparison Program (ICP) 2005,,,,
1300000,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,,78,ICP 2017,,,,
140000,140000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,,71,International Comparison Program (ICP) 2005,,,,
1400000,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,,78,ICP 2017,,,,
150000,150000:GROSS FIXED CAPITAL FORMATION,,71,International Comparison Program (ICP) 2005,,,,
1500000,1500000:GROSS CAPITAL FORMATION,,78,ICP 2017,,,,
150100,150100:MACHINERY AND EQUIPMENT,,71,International Comparison Program (ICP) 2005,,,,
1501000,1501000:GROSS FIXED CAPITAL FORMATION,,78,ICP 2017,,,,
1501100,1501100:MACHINERY AND EQUIPMENT,,78,ICP 2017,,,,
1501200,1501200:CONSTRUCTION,,78,ICP 2017,,,,
1501300,1501300:OTHER PRODUCTS,,78,ICP 2017,,,,
150200,150200:CONSTRUCTION,,71,International Comparison Program (ICP) 2005,,,,
1502000,1502000:CHANGES IN INVENTORIES,,78,ICP 2017,,,,
150300,150300:OTHER PRODUCTS,,71,International Comparison Program (ICP) 2005,,,,
1503000,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),,78,ICP 2017,,,,
1600000,1600000:BALANCE OF EXPORTS AND IMPORTS,,78,ICP 2017,,,,
160100,160100:CHANGES IN INVENTORIES,,71,International Comparison Program (ICP) 2005,,,,
160200,160200:ACQUISITIONS LESS DISPOSALS OF VALUABLES,,71,International Comparison Program (ICP) 2005,,,,
170000,170000:BALANCE OF EXPORTS AND IMPORTS,,71,International Comparison Program (ICP) 2005,,,,
2.0.cov.Cel,Coverage: Mobile Phone,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.cov.Ele,Coverage: Electricity,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.cov.FPS,Coverage: Finished Primary School,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Education ,4
2.0.cov.Int,Coverage: Internet ,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.San,Coverage: Sanitation,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.cov.Sch,Coverage: School Enrollment,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools",,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations using PISA Data.,Poverty ,11
2.0.cov.Wat,Coverage: Water,,37,LAC Equity Lab,The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between different circumstance groups.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.hoi.Cel,HOI: Mobile Phone,,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.hoi.Ele,HOI: Electricity,,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.hoi.FPS,HOI: Finished Primary School,,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Education ,4
2.0.hoi.Int,HOI: Internet ,,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,Poverty ,11
2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2,,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, region of school location, father's occupation, and a household wealth index based on assets.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations using PISA Data.,Poverty ,11
