country,countryiso3code,indicator_name,indicator_code,Unnamed: 28,date,value,indicator
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,1.7,SI.POV.DDAY
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,2.2,SI.POV.DDAY
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,1.4,SI.POV.DDAY
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,1.3,SI.POV.DDAY
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2023,1.2,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,24.1,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2002,19.8,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,14.8,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,10.3,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,6.1,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,4.5,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,3.7,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,2.0,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,3.1,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,2.9,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,3.1,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,2.5,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,2.9,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,3.4,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,2.9,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,2.5,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2017,2.4,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,2.9,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,2.4,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,1.5,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,2.1,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,1.9,SI.POV.DDAY
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2023,1.9,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,1.0,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,1.0,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,0.7,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,0.7,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,0.3,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,0.5,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,0.5,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,0.5,SI.POV.DDAY
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,1.0,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2000,0.2,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,0.4,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,0.1,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,0.2,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,0.1,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,0.4,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,0.5,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,0.7,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,0.5,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,0.5,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,0.7,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,0.3,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,0.2,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,0.7,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,0.7,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2017,0.3,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,0.6,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,0.6,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,0.7,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,0.5,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,0.6,SI.POV.DDAY
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2023,0.5,SI.POV.DDAY
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,11.4,SI.POV.DDAY
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2002,0.2,SI.POV.DDAY
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,0.2,SI.POV.DDAY
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,0.0,SI.POV.DDAY
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,0.0,SI.POV.DDAY
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,81.5,SI.POV.DDAY
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,75.8,SI.POV.DDAY
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,74.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2000,0.3,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,0.4,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,0.3,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,0.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,0.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,0.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,0.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2017,0.2,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,0.1,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,0.0,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,0.0,SI.POV.DDAY
Belgium,BEL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2023,0.1,SI.POV.DDAY
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,70.5,SI.POV.DDAY
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,68.4,SI.POV.DDAY
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,65.8,SI.POV.DDAY
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,37.2,SI.POV.DDAY
Benin,BEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,27.2,SI.POV.DDAY
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,69.6,SI.POV.DDAY
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,67.2,SI.POV.DDAY
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,58.7,SI.POV.DDAY
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,47.7,SI.POV.DDAY
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,42.1,SI.POV.DDAY
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2000,41.4,SI.POV.DDAY
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,32.3,SI.POV.DDAY
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,25.1,SI.POV.DDAY
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,19.5,SI.POV.DDAY
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,5.9,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,4.7,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,2.2,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,8.0,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,2.5,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,1.9,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,1.8,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,2.7,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,3.4,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,3.0,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,3.3,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,2.7,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,4.6,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,3.1,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2017,2.0,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,1.5,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,1.6,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,0.7,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2021,1.2,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2022,1.1,SI.POV.DDAY
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2023,1.0,SI.POV.DDAY
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,0.6,SI.POV.DDAY
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,0.4,SI.POV.DDAY
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,0.2,SI.POV.DDAY
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,0.2,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2000,26.5,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,14.7,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2002,10.4,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2003,8.7,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,4.3,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,2.4,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,1.1,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,1.1,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,0.5,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,0.5,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2010,0.2,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,0.1,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,0.1,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2015,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2016,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2017,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2019,0.0,SI.POV.DDAY
Belarus,BLR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2020,0.0,SI.POV.DDAY
Belize,BLZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2018,1.0,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2000,28.3,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2001,22.3,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2002,23.9,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2004,13.2,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2005,18.7,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2006,15.9,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2007,12.1,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2008,10.6,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2009,10.0,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2011,6.9,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2012,7.9,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2013,6.8,SI.POV.DDAY
Bolivia,BOL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,,2014,5.6,SI.POV.DDAY
